Url playlist;;List Url;Type ;Expert name;Company name;Sub-topics;YouTube account;;
https://www.youtube.com/watch?v;;uOKQ41P4DYQ;Video;Jordan Mantzke;Modern Goldsmith;Edelsmit;https://www.youtube.com/@moderngoldsmith/featured;;
https://www.youtube.com/watch?v;;XzLpleEL4ng;Video;Jordan Mantzke;Modern Goldsmith;Edelsmit;https://www.youtube.com/@moderngoldsmith/featured;;
https://www.youtube.com/watch?v;;p1yWy76qYT4;Video;Jordan Mantzke;Modern Goldsmith;Edelsmit;https://www.youtube.com/@moderngoldsmith/featured;;
https://www.youtube.com/watch?v;;mLGFHDtd4jc;Video;Jordan Mantzke;Modern Goldsmith;Edelsmit;https://www.youtube.com/@moderngoldsmith/featured;;
https://www.youtube.com/watch?v;;aX866Kx4oU8;Video;Jordan Mantzke;Modern Goldsmith;Edelsmit;https://www.youtube.com/@moderngoldsmith/featured;;
https://www.youtube.com/watch?v;;B8uyaCBERV8;Video;Jordan Mantzke;Modern Goldsmith;Edelsmit;https://www.youtube.com/@moderngoldsmith/featured;;
https://www.youtube.com/watch?v;;7hSZFO5QUmE;Video;Ryan Jewell;Wired;Klokkenmaker;https://www.youtube.com/@WIRED;;
https://www.youtube.com/watch?v;QmGNINAjX5I&list;PLzF7p4jha6GDrsZkJB_o9IedaRFomLDou;Playlist;Carlos Marcelin;CRM Jewelers;Klokkenmaker;https://www.youtube.com/@Crmjewelers;;
https://www.youtube.com/watch?v;jh4xqAiXPxg&list;PL4wKjLPPS74Di8G00o6Fges2W2-JRQXP7;Playlist;Adrian Barker;BarkandJack;Klokkenmaker;https://www.youtube.com/@BarkandJack/featured;;
https://www.youtube.com/watch?v;pT4ebBVUitg&list;PL4wKjLPPS74BwFpM99_FdgWU01CwEtjqu;Playlist;Adrian Barker;BarkandJack;Klokkenmaker;https://www.youtube.com/@BarkandJack/featured;;
https://www.youtube.com/watch?v;Bj2syq_d8VI&list;PL4wKjLPPS74AIr_fgwWkfsFv8-T-JEh_g;Playlist;Adrian Barker;BarkandJack;Klokkenmaker;https://www.youtube.com/@BarkandJack/featured;;
https://www.youtube.com/watch?v;JQvVTPCgozI&list;PL4wKjLPPS74DcDLdzUHUpUIHOsL9eiY04;Playlist;Adrian Barker;BarkandJack;Klokkenmaker;https://www.youtube.com/@BarkandJack/featured;;
https://www.youtube.com/watch?v;iZDuxAmgr1I&list;PLja3u80DBmCpPmf0QM_jC6ujFOZc0Gj4a;Playlist;Teddy Baldassarre;teddybaldassarre;Klokkenmaker;https://www.youtube.com/@TeddyBaldassarre/featured;;
https://www.youtube.com/watch?v;GV01OmcV2no&list;PLja3u80DBmCrQIlFqrbfKb5dkjcdpIKX1;Playlist;Teddy Baldassarre;teddybaldassarre;Klokkenmaker;https://www.youtube.com/@TeddyBaldassarre/featured;;
https://www.youtube.com/watch?v;yZZhKBUCk1U&list;PLWktMyQDMMIasMYgF61wtU58CbC0EUtjl;Playlist;Ken Condal;KenToonz;Klokkenmaker;https://www.youtube.com/@KenToonz/featured;;
https://www.youtube.com/watch?v;J7dmz0DvIko&list;PLlIieQ1fBIpo802wHe6sDFB6N7aSz1J5G;Playlist;;Stylish D;Kleermaker;https://www.youtube.com/@Stylish_D/featured;;
https://www.youtube.com/watch?v;Fmr5SmNeRds&list;PLlIieQ1fBIprWmXpXVEpxKK2Yvl_-3Ay3;Playlist;;Stylish D;Kleermaker;https://www.youtube.com/@Stylish_D/featured;;
https://www.youtube.com/watch?v;tB0Q0UvI3Xs&list;PLlIieQ1fBIpqbb68yFN0hWfcFiGSjfwCW;Playlist;;Stylish D;Kleermaker;https://www.youtube.com/@Stylish_D/featured;;
https://www.youtube.com/watch?v;hsjgbQ5DoXY&list;PLlIieQ1fBIpos-JbpRpJGeeBa7zbLxc_9;Playlist;;Stylish D;Kleermaker;https://www.youtube.com/@Stylish_D/featured;;
